Value,Frequency
Rhabdatomis laudamia,1144
Glena mopsaria,761
Nephodia auxesia,582
Oospila venezuelata,518
Nematocampa completa,494
Crinodes schausi,489
Lobocleta tenellata,455
Himeromima aulis,385
Hymenia perspectalis,345
Crambidia cephalica,329
Crambidia myrlosea,323
Nemoria vermiculata,283
Micrathetis dasarada,247
Clemensia leopardina,223
Lophosis labeculata,222
Trygodes amphion,217
Afrida ydatodes,214
Metanema bonadea,214
Nemoria defectiva,202
Clemensia brunneomedia,176
Cliniodes opalalis,162
Phyllodonta latrata,162
Lomographa argentata,154
Patalene aenetusaria,151
Thysanopyga carfinia,150
Leptostales crossii,149
Clemensia cincinnata,141
Oospila athena,137
Brachurapteryx tesserata,123
Iridopsis validaria,119
Epimecis semicompleta,116
Paragonia cruraria,112
Anisoperas atropunctaria,111
Ametris nitocris,110
Semaeopus viridiplaga,104
Melese monima,102
Macrocneme iole,100
Opisthoxia miletia,99
Oxydia trychiata,93
Eucereon xanthoperas,90
Herbita amicaria,86
Pelochyta affinis,82
Hygrochroma olivinaria,77
Synchlora gerularia,74
Dysschema lycaste,70
Phalaenophana pyramusalis,69
Nematocampa arenosa,66
Synchlora dependens,64
Simopteryx torquataria,62
Euglyphis libnites,60
Microphysetica hermeasalis,60
Nemoria pescadora,60
Epicrisias eschara,58
Semiothisa divergentata,57
Opharus rudis,55
Hymenomima umbelularia,53
Neotherina imperilla,52
Hypercompe nemophila,51
Eucereon tigrata,50
Rivula leucosticta,49
Antiblemma pira,49
Synchlora astraeoides,48
Prochoerodes pilosa,44
Aclytia heber,41
Hampsonodes mastoides,40
Nemoria astraea,38
Nephodia betala,37
Macaria delia,37
Sphacelodes vulneraria,36
Nepheloleuca illiturata,35
Pyrinia selecta,35
Amaxia apyga,34
Dyspteris tenuivitta,32
Nemoria aturia,32
Hampsonodes melagona,32
Meganola bifiliferata,32
Gonodes liquida,30
Leucanopsis longa,30
