Label,True Positives,True Negatives,False Positives,False Negatives
Rhabdatomis laudamia,1,49,0,0
Glena mopsaria,5,45,0,0
Nephodia auxesia,2,48,0,0
Oospila venezuelata,2,48,0,0
Nematocampa completa,1,49,0,0
Crinodes schausi,0,50,0,0
Lobocleta tenellata,1,49,0,0
Himeromima aulis,0,50,0,0
Hymenia perspectalis,3,47,0,0
Crambidia cephalica,1,49,0,0
Crambidia myrlosea,0,50,0,0
Nemoria vermiculata,2,48,0,0
Micrathetis dasarada,2,48,0,0
Clemensia leopardina,1,49,0,0
Lophosis labeculata,1,49,0,0
Trygodes amphion,1,49,0,0
Afrida ydatodes,1,49,0,0
Metanema bonadea,1,49,0,0
Nemoria defectiva,2,48,0,0
Clemensia brunneomedia,1,49,0,0
Cliniodes opalalis,0,48,0,2
Phyllodonta latrata,2,48,0,0
Lomographa argentata,1,49,0,0
Patalene aenetusaria,0,49,0,1
Thysanopyga carfinia,1,49,0,0
Leptostales crossii,1,49,0,0
Clemensia cincinnata,2,48,0,0
Oospila athena,0,50,0,0
Brachurapteryx tesserata,0,50,0,0
Iridopsis validaria,0,50,0,0
Epimecis semicompleta,0,50,0,0
Paragonia cruraria,0,50,0,0
Anisoperas atropunctaria,1,49,0,0
Ametris nitocris,0,50,0,0
Semaeopus viridiplaga,1,49,0,0
Melese monima,0,50,0,0
Macrocneme iole,0,50,0,0
Opisthoxia miletia,0,50,0,0
Oxydia trychiata,1,49,0,0
Eucereon xanthoperas,0,50,0,0
Herbita amicaria,0,50,0,0
Pelochyta affinis,0,50,0,0
Hygrochroma olivinaria,0,50,0,0
Synchlora gerularia,0,50,0,0
Dysschema lycaste,0,50,0,0
Phalaenophana pyramusalis,1,49,0,0
Nematocampa arenosa,1,49,0,0
Synchlora dependens,0,50,0,0
Simopteryx torquataria,0,50,0,0
Euglyphis libnites,2,48,0,0
Microphysetica hermeasalis,0,50,0,0
Nemoria pescadora,0,50,0,0
Epicrisias eschara,0,50,0,0
Semiothisa divergentata,0,50,0,0
Opharus rudis,0,50,0,0
Hymenomima umbelularia,0,50,0,0
Neotherina imperilla,0,50,0,0
Hypercompe nemophila,0,50,0,0
Eucereon tigrata,0,50,0,0
Rivula leucosticta,0,50,0,0
Antiblemma pira,1,49,0,0
Synchlora astraeoides,0,50,0,0
Prochoerodes pilosa,0,50,0,0
Aclytia heber,0,50,0,0
Hampsonodes mastoides,2,48,0,0
Nemoria astraea,0,50,0,0
Nephodia betala,0,50,0,0
Macaria delia,0,50,0,0
Sphacelodes vulneraria,0,50,0,0
Nepheloleuca illiturata,0,50,0,0
Pyrinia selecta,1,49,0,0
Amaxia apyga,1,49,0,0
Dyspteris tenuivitta,0,50,0,0
Nemoria aturia,0,50,0,0
Hampsonodes melagona,0,50,0,0
Meganola bifiliferata,0,50,0,0
Gonodes liquida,0,50,0,0
Leucanopsis longa,0,50,0,0
